Fuel Production,,,,,,,,,,,Reactors & Power,,,Waste,,,,,
,Cummulative SWU - fueltype,,,Total SWU,Consumed U Ore,,,Consumed U,,,operating reactors,,,sum reactor wet storage -Fueltype,,,sum reactor dry storage-Fueltype,,
,SWU,,,SWU,Kt,,,Kt,,,reactor,,,Kt,,,Kt,,
2055,7509480000000,0,0,10641337440,6984.675099,303.8677143,0,761.3138047,298.7264286,0,1081,112,0,116.4090383,50.74249552,0,542.4178051,231.4520401,0
2056,7771510000000,0,0,11014923049,7222.503695,314.6156607,0,787.5126936,309.3414107,0,1110,115,0,120.0090351,51.98349551,0,562.6872106,240.6930579,0
2057,8039720000000,0,0,11397488275,7465.598563,325.6295357,0,814.2234428,320.2223214,0,1138,118,0,121.8593056,53.42394194,0,584.9152652,250.0005579,0
2058,8313660000000,0,0,11788592169,7713.207378,336.9093393,0,841.5191751,331.3691607,0,1166,121,0,124.222742,54.8311473,0,607.2151368,259.6072276,0
2059,8594160000000,0,0,12189061510,7966.787769,348.4550714,0,869.3110985,342.7819286,0,1194,124,0,126.8499432,56.2272723,0,629.7526578,269.4909061,0
2060,8881320000000,0,0,12599006536,8226.433777,360.2667321,0,897.7767971,354.460625,0,1222,127,0,129.4549463,57.4682723,0,652.975706,279.6405133,0
2061,9174450000000,0,0,13017710705,8490.781813,372.3443214,0,926.9214941,366.40525,0,1251,130,0,132.1200147,58.59846873,0,676.7288952,290.056049,0
2062,9473300000000,0,0,13444953541,8759.643797,384.6878393,0,956.5780513,378.6158036,0,1279,133,0,135.1180535,59.72866515,0,700.7549895,300.7375133,0
2063,9778710000000,0,0,13881561825,9034.477357,397.2972857,0,986.7307997,391.0922857,0,1307,136,0,138.1265383,60.85886158,0,725.2720518,311.6849061,0
2064,10090400000000,0,0,14327204844,9314.624208,410.1726607,0,1017.557323,403.8346964,0,1335,139,0,141.2760459,61.98905801,0,750.3114205,322.8982275,0
2065,10408600000000,0,0,14782268430,9600.789657,423.3139643,0,1048.96883,416.8430357,0,1363,142,0,144.3929093,63.23559819,0,775.9736395,334.2611338,0
2066,10732400000000,0,0,15245650209,9890.904808,436.7211964,0,1081.059335,430.1173036,0,1392,145,0,147.4862689,64.6040223,0,802.2443455,345.7680847,0
2067,11062700000000,0,0,15718397435,10186.99154,450.3943571,0,1113.572908,443.6575,0,1420,148,0,150.4999769,66.00014729,0,829.1170097,357.5132632,0
2068,11399300000000,0,0,16200179397,10488.39156,464.3334464,0,1146.760257,457.463625,0,1448,151,0,153.6494844,67.39627229,0,856.5172033,369.5243704,0
2069,11741500000000,0,0,16690500027,10794.30552,478.5384643,0,1180.532588,471.5356786,0,1476,154,0,156.7663479,68.79239729,0,884.5402473,381.8014061,0
2070,12094800000000,0,0,17194595597,11113.71431,493.0094107,0,1214.801111,485.8736607,0,1504,157,0,159.7813615,70.18852229,0,913.1717782,394.3443704,0
2071,12454600000000,0,0,17708936938,11438.29533,507.87925,0,1250.636553,500.5662143,0,1533,160,0,163.573306,71.58464729,0,942.3895981,407.1532632,0
2072,12820500000000,0,0,18232491756,11768.14262,523.0371786,0,1286.983855,515.5911786,0,1561,163,0,167.4331503,73.04725443,0,972.1453935,420.2280847,0
2073,13192600000000,0,0,18765026192,12103.25619,538.4610357,0,1323.916141,530.8820714,0,1589,166,0,171.2551273,74.57634372,0,1002.529262,433.5688346,0
2074,13570400000000,0,0,19306099296,12442.8837,554.1508214,0,1361.433409,546.4388929,0,1617,169,0,175.0483775,76.12759372,0,1033.521618,447.1755132,0
2075,13955300000000,0,0,19856978796,12789.23511,570.1065357,0,1399.446869,562.2616429,0,1645,172,0,178.8677431,77.67884372,0,1065.041504,461.0481203,0
2076,14346100000000,0,0,20416672557,13140.33557,586.3281786,0,1438.228119,578.3503214,0,1674,175,0,182.2535943,79.23009372,0,1097.710463,475.1866561,0
2077,14743100000000,0,0,20985345935,13496.7023,602.81575,0,1477.521229,594.7049286,0,1702,178,0,185.4501094,80.73148211,0,1131.174634,489.6409819,0
2078,15146300000000,0,0,21562998930,13858.33531,619.56925,0,1517.399322,611.3254643,0,1730,181,0,188.6374842,82.16638836,0,1165.232928,504.4277185,0
2079,15555300000000,0,0,22149190593,14224.48226,636.5886786,0,1557.862399,628.2119286,0,1758,184,0,191.8222475,83.56805354,0,1199.873594,519.5136248,0
2080,15971200000000,0,0,22745188653,14597.35311,653.8740357,0,1598.821667,645.3643214,0,1786,187,0,194.9534743,84.96417854,0,1235.074434,534.8709998,0
2081,16393100000000,0,0,23350000973,14974.97301,671.4253214,0,1640.548725,662.7826429,0,1815,190,0,198.0781723,86.36030354,0,1270.950355,550.4943033,0
2082,16821200000000,0,0,23963792911,15357.85918,689.2425357,0,1682.787643,680.4668929,0,1843,193,0,201.1754493,87.75642854,0,1307.459572,566.3835355,0
2083,17255500000000,0,0,24586564466,15746.01163,707.3256786,0,1725.611545,698.4170714,0,1871,196,0,204.2675032,89.15255354,0,1344.558995,582.5386962,0
2084,17695500000000,0,0,25217874688,16138.67802,725.67475,0,1769.020429,716.6331786,0,1899,199,0,207.3582513,90.54867853,0,1382.239484,598.9597855,0
2085,18142500000000,0,0,25858991307,16538.06831,744.28975,0,1812.925505,735.1152143,0,1927,202,0,210.4307186,91.94480353,0,1420.444892,615.6468033,0
2086,18595500000000,0,0,26508922187,16942.20765,763.1706786,0,1857.598371,753.8631786,0,1956,205,0,213.5436648,93.34092853,0,1459.278372,632.5997497,0
2087,19209100000000,0,0,27322164929,17614.92685,782.3175357,0,1902.783098,772.8770714,0,1984,208,0,216.6409417,94.73705353,0,1498.733398,649.8186247,0
2088,19698100000000,0,0,28049302877,18053.57908,806.7829643,0,1979.630038,795.5253214,0,2012,211,0,247.1540814,96.13317853,0,1538.778629,667.3034283,0
2089,20174200000000,0,0,28740514483,18480.75836,827.43675,0,2026.872652,817.6860357,0,2040,214,0,251.0282891,100.055625,0,1579.404926,685.0541604,0
2090,20661200000000,0,0,29436848187,18921.43246,847.5365179,0,2074.611456,837.6528393,0,2068,217,0,254.8842161,102.537625,0,1620.556142,703.0708211,0
2091,21154800000000,0,0,30143427663,19367.27879,868.0351786,0,2123.91718,857.9742143,0,2097,220,0,259.4857355,104.3548035,0,1662.33543,721.3534104,0
2092,21654500000000,0,0,30859220616,19818.3914,888.8219286,0,2173.734764,878.628,0,2125,223,0,265.899658,106.2827857,0,1704.736264,739.9019283,0
2093,22160300000000,0,0,31583993186,20274.77027,909.8746071,0,2224.137332,899.5477143,0,2153,226,0,250.6039152,108.2550892,0,1768.293118,758.7163747,0
2094,22672000000000,0,0,32317304424,20735.6631,931.1932143,0,2275.124882,920.7333571,0,2181,229,0,248.4245918,108.3326517,0,1819.308089,779.6914908,0
2095,23191000000000,0,0,33060863008,21204.03215,952.77775,0,2326.608624,942.1849286,0,2209,232,0,252.9647401,108.8589687,0,1864.188572,800.4837809,0
2096,23715700000000,0,0,33812850022,21676.44494,974.6282143,0,2378.948948,963.9024286,0,2238,235,0,256.530787,110.2440133,0,1910.225964,820.683272,0
2097,24246500000000,0,0,34573761535,22154.07698,996.7446071,0,2431.71234,985.8858571,0,2266,238,0,258.4554861,111.7121607,0,1958.432233,841.0655889,0
2098,24783000000000,0,0,35343211715,22636.22297,1019.126929,0,2485.060715,1008.135214,0,2294,241,0,260.771915,113.119366,0,2006.831755,861.7747764,0
2099,25326100000000,0,0,36122027343,23124.34054,1041.775179,0,2538.905282,1030.6505,0,2322,244,0,263.2972664,114.3825267,0,2055.523769,882.7609729,0
2100,25863500000000,0,0,36897972076,23597.45864,1064.689357,0,2593.423624,1053.431714,0,2350,247,0,265.9087984,115.5127232,0,2104.798154,904.0130978,0
